Model,Year,Region,Color,Fuel Type,Base Price (USD),Horsepower,Sales Volume,Turbo
C-Class,2020,Global,Blue,Diesel,61059,380,1,Yes
GLC,2021,Global,Blue,Diesel,119454,266,1,No
E-Class,2020,Global,White,Petrol,43383,259,1,Yes
GLE,2025,Global,White,Petrol,77856,266,1,No
E-Class,2024,Global,Orange,Hybrid,59787,302,1,No
A-Class,2024,Global,Grey,Petrol,70536,151,1,Yes
GLE,2024,Global,White,Hybrid,142303,414,1,Yes
GLA,2025,Global,Black,Petrol,43538,368,1,Yes
AMG E 63,2023,Global,Black,Petrol,210236,590,1,Yes
E-Class,2022,Global,Black,Petrol,51827,605,1,No
GLC,2021,Global,White,Electric,123358,491,1,No
A-Class,2021,Global,Grey,Petrol,41487,181,1,Yes
GLA,2020,Global,Black,Petrol,43892,310,1,Yes
S-Class,2023,Global,Silver,Petrol,304059,654,1,Yes
GLC,2024,Global,Yellow,Petrol,73154,211,1,Yes
GLA,2024,Global,White,Hybrid,97216,342,1,Yes
GLE,2024,Global,Black,Electric,113162,362,1,Yes
GLA,2024,Global,Black,Petrol,51181,401,1,Yes
GLS,2025,Global,Red,Petrol,235138,468,1,Yes
E-Class,2022,Global,Silver,Petrol,61807,574,1,Yes
GLA,2023,Global,White,Petrol,73993,185,1,Yes
GLB,2023,Global,Grey,Petrol,50008,335,1,No
E-Class,2023,Global,Black,Hybrid,94499,325,1,Yes
G-Class,2024,Global,Red,Electric,175890,436,1,Yes
C-Class,2021,Global,Blue,Petrol,49992,202,1,Yes
E-Class,2024,Global,Black,Diesel,70246,324,1,Yes
CLS,2022,Global,Silver,Petrol,58589,508,1,Yes
C-Class,2021,Global,White,Petrol,67515,417,1,No
E-Class,2025,Global,Black,Petrol,50415,258,1,Yes
C-Class,2020,Global,Red,Petrol,42095,506,1,Yes
E-Class,2021,Global,Silver,Petrol,38077,225,1,Yes
GLB,2020,Global,Yellow,Petrol,70017,405,1,No
GLA,2021,Global,Black,Diesel,41722,382,1,Yes
A-Class,2022,Global,Silver,Diesel,95972,332,1,Yes
GLE,2025,Global,Grey,Petrol,121425,500,1,Yes
CLA,2021,Global,Blue,Petrol,60236,260,1,Yes
GLC,2025,Global,Silver,Hybrid,147216,437,1,Yes
GLC,2023,Global,White,Petrol,100330,419,1,No
A-Class,2022,Global,White,Petrol,50409,387,1,Yes
GLC,2022,Global,Grey,Hybrid,128908,356,1,No
A-Class,2022,Global,Black,Petrol,39680,318,1,Yes
GLB,2025,Global,White,Petrol,62835,236,1,Yes
A-Class,2020,Global,Black,Diesel,51737,417,1,Yes
GLE,2022,Global,Orange,Diesel,139580,571,1,No
C-Class,2023,Global,Black,Petrol,80691,373,1,No
GLA,2021,Global,Grey,Diesel,84658,401,1,Yes
GLC,2023,Global,White,Petrol,77463,455,1,Yes
GLE,2022,Global,White,Hybrid,154928,487,1,Yes
GLC,2025,Global,Silver,Petrol,97460,264,1,Yes
AMG A 45,2023,Global,Red,Petrol,136069,417,1,Yes
C-Class,2023,Global,Black,Diesel,88583,376,1,Yes
GLC,2024,Global,Green,Petrol,96206,317,1,Yes
GLC,2022,Global,White,Petrol,160204,383,1,Yes
GLC,2023,Global,Silver,Diesel,92658,440,1,No
C-Class,2022,Global,Silver,Petrol,72696,387,1,No
GLE,2023,Global,Yellow,Petrol,94548,519,1,Yes
GLC,2023,Global,Blue,Petrol,140750,347,1,No
GLE,2020,Global,White,Petrol,124352,312,1,Yes
E-Class,2020,Global,Blue,Petrol,77714,396,1,Yes
GLS,2021,Global,Black,Hybrid,240341,561,1,Yes
C-Class,2022,Global,Silver,Electric,40279,412,1,Yes
GLC,2023,Global,White,Hybrid,113989,407,1,Yes
GLA,2024,Global,Silver,Electric,42751,380,1,Yes
GLC,2021,Global,White,Diesel,120763,321,1,Yes
A-Class,2022,Global,Grey,Petrol,69077,254,1,Yes
GLE,2021,Global,Silver,Petrol,141121,525,1,Yes
AMG A 45,2024,Global,Black,Hybrid,207085,393,1,Yes
AMG A 45,2025,Global,Red,Diesel,273975,413,1,Yes
C-Class,2023,Global,Black,Hybrid,75331,218,1,Yes
GLC,2023,Global,Black,Petrol,148035,406,1,No
S-Class,2025,Global,Black,Electric,290803,371,1,Yes
GLC,2024,Global,Black,Petrol,135990,351,1,Yes
C-Class,2020,Global,White,Petrol,49760,510,1,Yes
C-Class,2022,Global,Black,Petrol,47678,226,1,No
GLS,2023,Global,Black,Hybrid,217755,341,1,Yes
G-Class,2022,Global,Blue,Diesel,306049,569,1,Yes
C-Class,2024,Global,Grey,Diesel,91838,366,1,Yes
GLS,2020,Global,Blue,Petrol,131208,348,1,Yes
E-Class,2024,Global,Grey,Electric,99720,315,1,Yes
C-Class,2022,Global,Black,Petrol,53389,338,1,Yes
GLC,2021,Global,White,Hybrid,86941,327,1,Yes
E-Class,2023,Global,Blue,Hybrid,52827,469,1,Yes
C-Class,2025,Global,White,Hybrid,98530,457,1,Yes
GLE,2024,Global,Yellow,Hybrid,155904,342,1,Yes
GLB,2020,Global,Black,Diesel,85825,222,1,Yes
G-Class,2025,Global,Grey,Hybrid,160737,578,1,Yes
C-Class,2025,Global,Grey,Petrol,52741,449,1,Yes
AMG A 45,2024,Global,Grey,Petrol,341737,419,1,Yes
A-Class,2024,Global,Black,Electric,83681,216,1,Yes
C-Class,2022,Global,Silver,Diesel,67591,372,1,Yes
A-Class,2024,Global,Black,Hybrid,85539,316,1,Yes
GLE,2023,Global,Silver,Electric,124827,295,1,Yes
GLS,2024,Global,Black,Hybrid,394824,338,1,Yes
CLA,2025,Global,Blue,Diesel,69051,395,1,Yes
A-Class,2023,Global,Brown,Diesel,68950,164,1,Yes
CLA,2025,Global,Grey,Petrol,62582,421,1,Yes
CLS,2023,Global,Blue,Petrol,46558,391,1,Yes
A-Class,2022,Global,Red,Petrol,95073,227,1,No
A-Class,2024,Global,Black,Hybrid,63775,290,1,Yes
A-Class,2024,Global,White,Hybrid,94024,219,1,No
A-Class,2022,Global,Black,Petrol,92941,324,1,Yes
A-Class,2025,Global,Grey,Petrol,95072,382,1,No
GLE,2022,Global,Black,Diesel,106127,302,1,Yes
A-Class,2022,Global,Black,Petrol,59647,330,1,Yes
A-Class,2025,Global,Yellow,Hybrid,73833,408,1,Yes
GLC,2025,Global,Grey,Petrol,90814,244,1,Yes
C-Class,2022,Global,Grey,Petrol,67481,499,1,Yes
GLE,2021,Global,Blue,Petrol,115334,531,1,No
GLC,2025,Global,White,Petrol,97006,462,1,Yes
GLC,2021,Global,Green,Petrol,89702,277,1,Yes
GLC,2024,Global,White,Hybrid,129480,376,1,Yes
GLA,2022,Global,Black,Petrol,77878,294,1,Yes
C-Class,2023,Global,Red,Electric,49297,311,1,Yes
GLC,2021,Global,Black,Petrol,89564,426,1,Yes
GLC,2022,Global,Grey,Petrol,79839,300,1,Yes
CLA,2025,Global,Black,Hybrid,71196,260,1,No
GLA,2025,Global,Black,Electric,95241,270,1,Yes
S-Class,2020,Global,Silver,Petrol,291500,347,1,No
A-Class,2020,Global,White,Diesel,79400,311,1,Yes
A-Class,2023,Global,White,Hybrid,75281,241,1,Yes
GLC,2020,Global,Black,Petrol,86004,363,1,Yes
GLC,2023,Global,White,Petrol,103374,286,1,Yes
C-Class,2023,Global,Black,Electric,69268,288,1,Yes
GLC,2024,Global,Green,Diesel,107867,507,1,Yes
GLC,2025,Global,White,Hybrid,164474,437,1,Yes
A-Class,2021,Global,Grey,Diesel,48703,315,1,Yes
S-Class,2020,Global,Blue,Petrol,182960,666,1,Yes
E-Class,2022,Global,Silver,Petrol,79570,380,1,Yes
A-Class,2024,Global,Blue,Petrol,58234,308,1,Yes
GLA,2023,Global,Black,Hybrid,72598,185,1,Yes
GLC,2025,Global,White,Hybrid,152585,433,1,Yes
GLA,2025,Global,White,Petrol,78827,181,1,No
GLC,2020,Global,Silver,Diesel,124612,366,1,No
GLE,2023,Global,Silver,Hybrid,161869,552,1,Yes
E-Class,2023,Global,Silver,Petrol,92212,566,1,Yes
GLA,2021,Global,Yellow,Hybrid,46215,359,1,No
A-Class,2024,Global,Grey,Petrol,95941,317,1,Yes
GLE,2023,Global,Red,Petrol,105630,284,1,Yes
AMG E 63,2024,Global,Silver,Petrol,287753,574,1,Yes
A-Class,2022,Global,Silver,Electric,41853,314,1,Yes
GLB,2021,Global,White,Hybrid,41000,274,1,Yes
GLA,2021,Global,Silver,Petrol,50627,397,1,Yes
C-Class,2022,Global,Red,Petrol,80985,506,1,Yes
GLS,2021,Global,Grey,Petrol,267487,529,1,Yes
GLC,2022,Global,Grey,Diesel,102894,463,1,Yes
A-Class,2025,Global,Silver,Electric,72915,263,1,Yes
GLE,2020,Global,Black,Petrol,143355,390,1,Yes
GLE,2025,Global,Black,Diesel,81191,297,1,Yes
GLC,2022,Global,White,Petrol,125735,483,1,Yes
GLC,2020,Global,White,Diesel,120003,456,1,Yes
G-Class,2023,Global,Blue,Hybrid,134098,510,1,Yes
S-Class,2023,Global,Red,Petrol,237746,715,1,Yes
A-Class,2022,Global,Silver,Petrol,86999,316,1,Yes
CLA,2024,Global,Silver,Petrol,96583,418,1,Yes
GLA,2021,Global,Black,Petrol,57552,413,1,Yes
GLC,2021,Global,White,Petrol,88024,204,1,No
GLB,2020,Global,Grey,Diesel,85025,314,1,Yes
GLC,2023,Global,White,Petrol,105159,326,1,Yes
GLC,2023,Global,Brown,Hybrid,139791,326,1,Yes
A-Class,2021,Global,Grey,Diesel,44668,269,1,Yes
GLC,2025,Global,Grey,Hybrid,128681,411,1,Yes
E-Class,2022,Global,Silver,Diesel,61699,237,1,Yes
GLA,2021,Global,White,Petrol,83978,402,1,No
A-Class,2023,Global,White,Diesel,75621,402,1,Yes
GLB,2023,Global,Black,Petrol,47921,225,1,Yes
A-Class,2023,Global,Grey,Hybrid,94217,204,1,Yes
GLC,2020,Global,Grey,Petrol,102937,446,1,Yes
GLC,2022,Global,Black,Petrol,80889,392,1,Yes
GLB,2023,Global,Black,Petrol,84114,226,1,Yes
C-Class,2023,Global,Red,Petrol,44543,440,1,Yes
CLA,2022,Global,White,Diesel,65793,407,1,Yes
GLC,2025,Global,Black,Hybrid,96166,315,1,Yes
GLE,2024,Global,Grey,Petrol,95952,271,1,No
S-Class,2024,Global,White,Petrol,254825,582,1,Yes
A-Class,2025,Global,Grey,Electric,77270,412,1,Yes
S-Class,2024,Global,Green,Diesel,181322,679,1,Yes
C-Class,2021,Global,Grey,Petrol,44425,386,1,Yes
GLE,2024,Global,Yellow,Hybrid,78831,509,1,Yes
GLE,2022,Global,Black,Petrol,132897,408,1,No
CLA,2022,Global,Black,Petrol,90866,302,1,Yes
A-Class,2023,Global,Grey,Hybrid,74063,227,1,Yes
E-Class,2020,Global,Blue,Diesel,71719,364,1,Yes
C-Class,2024,Global,Green,Hybrid,60275,225,1,No
AMG C 63,2024,Global,Black,Hybrid,179324,505,1,Yes
A-Class,2022,Global,Black,Petrol,72548,161,1,Yes
GLB,2021,Global,Black,Petrol,75222,335,1,Yes
E-Class,2022,Global,Black,Petrol,44063,453,1,Yes
C-Class,2020,Global,White,Petrol,86680,482,1,Yes
S-Class,2020,Global,Grey,Petrol,141732,676,1,Yes
GLB,2022,Global,White,Petrol,91528,261,1,Yes
GLB,2020,Global,Grey,Petrol,52327,344,1,Yes
GLC,2021,Global,Black,Petrol,139946,367,1,Yes
C-Class,2022,Global,White,Petrol,41383,341,1,Yes
AMG E 63,2022,Global,Black,Petrol,233253,575,1,Yes
GLC,2023,Global,White,Hybrid,72938,450,1,Yes
S-Class,2024,Global,Black,Petrol,367652,687,1,Yes
GLA,2025,Global,Black,Petrol,45883,347,1,Yes
C-Class,2024,Global,Silver,Hybrid,67221,508,1,No
GLA,2020,Global,Black,Diesel,66223,354,1,Yes
A-Class,2025,Global,Red,Petrol,104748,185,1,Yes
GLA,2022,Global,Grey,Petrol,85607,201,1,Yes
E-Class,2023,Global,Black,Petrol,70827,381,1,No
GLS,2020,Global,Black,Diesel,323526,370,1,Yes
S-Class,2025,Global,Blue,Electric,300241,762,1,Yes
GLC,2024,Global,Black,Petrol,101289,369,1,Yes
GLS,2025,Global,Green,Diesel,294785,505,1,Yes
E-Class,2023,Global,Black,Petrol,56227,465,1,Yes
GLB,2021,Global,Black,Hybrid,92529,395,1,No
GLC,2023,Global,Black,Petrol,126669,282,1,Yes
GLS,2023,Global,Black,Hybrid,213187,595,1,No
GLE,2021,Global,Silver,Diesel,152365,421,1,Yes
GLC,2024,Global,Black,Petrol,130584,305,1,Yes
GLC,2023,Global,White,Hybrid,79777,352,1,Yes
GLA,2024,Global,Black,Petrol,87225,279,1,Yes
A-Class,2025,Global,Grey,Hybrid,101457,222,1,Yes
GLC,2022,Global,Black,Petrol,94225,429,1,Yes
C-Class,2021,Global,Black,Petrol,46905,206,1,Yes
C-Class,2022,Global,White,Petrol,56586,412,1,Yes
C-Class,2024,Global,White,Diesel,62907,474,1,Yes
GLE,2023,Global,Black,Diesel,130459,296,1,Yes
GLB,2025,Global,Black,Hybrid,60063,295,1,Yes
GLB,2024,Global,Grey,Petrol,82361,383,1,Yes
E-Class,2023,Global,Blue,Petrol,65506,323,1,No
GLC,2020,Global,Grey,Petrol,114887,483,1,Yes
S-Class,2021,Global,Silver,Diesel,344143,618,1,Yes
GLA,2020,Global,Grey,Diesel,82650,349,1,Yes
A-Class,2025,Global,Black,Electric,74475,160,1,Yes
S-Class,2025,Global,Red,Electric,304840,453,1,Yes
GLC,2021,Global,White,Hybrid,88999,491,1,Yes
G-Class,2024,Global,Blue,Electric,210387,465,1,Yes
GLA,2021,Global,Yellow,Diesel,67590,179,1,Yes
GLE,2024,Global,Black,Electric,77272,260,1,Yes
E-Class,2022,Global,Silver,Hybrid,42605,316,1,Yes
C-Class,2025,Global,Silver,Hybrid,62224,489,1,Yes
CLS,2025,Global,Black,Hybrid,82977,417,1,Yes
E-Class,2021,Global,Red,Petrol,37798,430,1,Yes
A-Class,2023,Global,White,Petrol,68564,417,1,Yes
C-Class,2021,Global,Blue,Petrol,38041,460,1,Yes
C-Class,2020,Global,Silver,Petrol,56561,499,1,No
GLC,2020,Global,White,Petrol,139030,320,1,Yes
A-Class,2025,Global,Red,Petrol,67053,163,1,Yes
S-Class,2021,Global,Silver,Diesel,184190,336,1,Yes
GLB,2021,Global,Grey,Petrol,87833,228,1,Yes
GLE,2021,Global,White,Petrol,133985,384,1,Yes
A-Class,2020,Global,Silver,Petrol,68017,173,1,Yes
GLA,2023,Global,Grey,Hybrid,74896,375,1,Yes
C-Class,2021,Global,Black,Diesel,78378,328,1,Yes
C-Class,2022,Global,Black,Diesel,76881,382,1,Yes
S-Class,2023,Global,Blue,Petrol,212700,500,1,Yes
E-Class,2023,Global,White,Petrol,46837,359,1,Yes
GLS,2021,Global,Silver,Petrol,222320,375,1,Yes
GLC,2023,Global,Black,Electric,150377,201,1,Yes
C-Class,2021,Global,Yellow,Petrol,45229,352,1,Yes
GLC,2025,Global,Red,Electric,132444,476,1,Yes
A-Class,2025,Global,White,Hybrid,50795,228,1,Yes
C-Class,2023,Global,Grey,Petrol,74184,494,1,Yes
GLE,2022,Global,Brown,Petrol,134847,305,1,Yes
GLS,2022,Global,White,Hybrid,301725,394,1,Yes
E-Class,2025,Global,Black,Electric,81970,562,1,Yes
GLE,2025,Global,Grey,Electric,122912,558,1,Yes
C-Class,2021,Global,White,Hybrid,67268,351,1,Yes
GLE,2021,Global,Black,Diesel,153156,255,1,Yes
GLE,2020,Global,White,Petrol,147262,379,1,Yes
CLA,2023,Global,Grey,Electric,70168,350,1,Yes
E-Class,2022,Global,White,Diesel,90348,498,1,Yes
E-Class,2021,Global,Yellow,Petrol,67319,259,1,Yes
GLB,2024,Global,Blue,Hybrid,101551,330,1,Yes
GLC,2025,Global,Black,Electric,150649,424,1,Yes
E-Class,2023,Global,Black,Diesel,42860,581,1,Yes
E-Class,2021,Global,Black,Petrol,73123,214,1,Yes
C-Class,2025,Global,White,Electric,102216,233,1,Yes
A-Class,2020,Global,Blue,Diesel,47857,300,1,Yes
GLC,2021,Global,Green,Petrol,63318,296,1,Yes
A-Class,2024,Global,White,Hybrid,52792,205,1,No
C-Class,2020,Global,Blue,Diesel,52445,331,1,No
AMG C 63,2023,Global,White,Hybrid,136350,483,1,Yes
GLC,2021,Global,White,Petrol,127202,385,1,No
GLB,2023,Global,Grey,Petrol,95422,281,1,No
E-Class,2024,Global,Grey,Petrol,51069,274,1,Yes
C-Class,2023,Global,Silver,Petrol,98543,422,1,No
E-Class,2021,Global,Grey,Petrol,86428,306,1,Yes
GLB,2022,Global,Silver,Petrol,60299,326,1,Yes
GLE,2023,Global,Yellow,Diesel,131613,294,1,No
GLS,2022,Global,White,Petrol,263374,591,1,Yes
CLA,2022,Global,Grey,Diesel,45771,419,1,Yes
GLC,2021,Global,White,Petrol,89152,395,1,No
GLA,2022,Global,Red,Diesel,50638,355,1,Yes
A-Class,2023,Global,Silver,Petrol,46905,220,1,Yes
A-Class,2024,Global,Brown,Petrol,94788,397,1,Yes
C-Class,2023,Global,Silver,Diesel,65287,476,1,Yes
GLS,2024,Global,White,Diesel,349892,570,1,Yes
GLC,2021,Global,Blue,Diesel,139731,363,1,Yes
GLC,2021,Global,Grey,Diesel,89859,367,1,No
AMG A 45,2022,Global,Green,Petrol,327034,409,1,Yes
GLC,2023,Global,White,Diesel,152835,458,1,Yes
A-Class,2020,Global,Green,Hybrid,72117,334,1,Yes
A-Class,2021,Global,Grey,Petrol,40358,182,1,Yes
GLA,2024,Global,Silver,Diesel,99088,303,1,No
GLC,2020,Global,Blue,Petrol,82771,504,1,Yes
S-Class,2020,Global,White,Petrol,199783,708,1,Yes
GLS,2022,Global,Black,Hybrid,215212,521,1,Yes
A-Class,2021,Global,Silver,Diesel,42831,397,1,Yes
G-Class,2024,Global,Black,Petrol,374289,510,1,No
AMG GT,2025,Global,Grey,Hybrid,161340,698,1,Yes
A-Class,2025,Global,Grey,Petrol,45599,185,1,No
GLC,2020,Global,Green,Petrol,75043,210,1,Yes
GLC,2023,Global,Grey,Diesel,145584,382,1,Yes
E-Class,2024,Global,Blue,Petrol,75160,463,1,No
GLS,2025,Global,White,Electric,260073,349,1,Yes
E-Class,2025,Global,Red,Electric,98957,218,1,Yes
GLB,2024,Global,Black,Hybrid,62763,161,1,Yes
S-Class,2020,Global,White,Petrol,224155,674,1,Yes
GLC,2025,Global,Grey,Electric,114500,405,1,Yes
A-Class,2022,Global,White,Diesel,64623,359,1,Yes
A-Class,2020,Global,Grey,Diesel,73106,160,1,Yes
AMG A 45,2022,Global,Grey,Electric,186521,394,1,Yes
GLE,2022,Global,White,Petrol,129379,300,1,Yes
GLC,2020,Global,Black,Diesel,65807,477,1,No
C-Class,2021,Global,Silver,Hybrid,59184,223,1,Yes
A-Class,2025,Global,Black,Diesel,56472,167,1,Yes
GLA,2021,Global,Black,Diesel,91370,190,1,No
C-Class,2020,Global,Blue,Petrol,80673,376,1,No
GLE,2022,Global,Black,Petrol,148829,459,1,No
GLE,2021,Global,White,Diesel,127846,382,1,Yes
GLC,2025,Global,White,Hybrid,118197,243,1,Yes
A-Class,2020,Global,Black,Petrol,84441,367,1,Yes
A-Class,2024,Global,White,Hybrid,90869,393,1,Yes
A-Class,2024,Global,Grey,Electric,65901,214,1,Yes
GLA,2021,Global,White,Diesel,76486,343,1,Yes
A-Class,2023,Global,Silver,Hybrid,52678,196,1,Yes
GLC,2025,Global,Black,Electric,84775,215,1,Yes
GLE,2021,Global,Silver,Hybrid,72110,309,1,Yes
GLA,2023,Global,Silver,Petrol,44266,314,1,Yes
GLB,2022,Global,Silver,Hybrid,39045,326,1,Yes
GLE,2024,Global,White,Petrol,140124,549,1,Yes
A-Class,2023,Global,Grey,Diesel,41836,389,1,Yes
A-Class,2023,Global,Blue,Hybrid,77344,404,1,Yes
GLB,2021,Global,Silver,Diesel,38943,334,1,Yes
GLC,2020,Global,Silver,Petrol,66640,484,1,Yes
GLE,2021,Global,Blue,Hybrid,62537,315,1,Yes
GLB,2024,Global,Red,Electric,45263,209,1,Yes
S-Class,2025,Global,Grey,Electric,341603,658,1,Yes
AMG A 45,2020,Global,Yellow,Diesel,210824,420,1,Yes
C-Class,2023,Global,Black,Petrol,55554,359,1,No
GLC,2020,Global,Grey,Diesel,115970,391,1,Yes
GLC,2023,Global,White,Hybrid,95781,329,1,Yes
GLE,2025,Global,Silver,Hybrid,80614,316,1,Yes
E-Class,2022,Global,Grey,Diesel,84345,377,1,Yes
GLE,2023,Global,Red,Hybrid,68009,605,1,Yes
GLB,2025,Global,Grey,Electric,68981,209,1,No
A-Class,2025,Global,Green,Petrol,74516,295,1,Yes
GLC,2022,Global,Orange,Petrol,116195,280,1,Yes
CLA,2022,Global,White,Petrol,37924,381,1,Yes
